,,Time,Density
1372,0.70951,91.4,0.70951
1375,0.708047,91.6,0.708047
1378,0.708027,91.8,0.708027
1381,0.7096,92,0.7096
1384,0.709389,92.2,0.709389
1387,0.706884,92.4,0.706884
1390,0.706658,92.6,0.706658
1393,0.70649,92.8,0.70649
1396,0.707227,93,0.707227
1399,0.708039,93.2,0.708039
1402,0.708605,93.4,0.708605
1405,0.70944,93.6,0.70944
1408,0.710353,93.8,0.710353
1411,0.713283,94,0.713283
1414,0.714016,94.2,0.714016
1417,0.715367,94.4,0.715367
1420,0.715519,94.6,0.715519
1423,0.716549,94.8,0.716549
1426,0.718172,95,0.718172
1429,0.719463,95.2,0.719463
1432,0.719854,95.4,0.719854
1435,0.719218,95.6,0.719218
1438,0.720486,95.8,0.720486
1441,0.720392,96,0.720392
1444,0.720166,96.2,0.720166
1447,0.722144,96.4,0.722144
1450,0.722199,96.6,0.722199
1453,0.721953,96.8,0.721953
1456,0.723026,97,0.723026
1459,0.720486,97.2,0.720486
1462,0.719928,97.4,0.719928
1465,0.722628,97.6,0.722628
1468,0.722597,97.8,0.722597
1471,0.723116,98,0.723116
1474,0.72534,98.2,0.72534
1477,0.731902,98.4,0.731902
1480,0.735199,98.6,0.735199
1483,0.740018,98.8,0.740018
1486,0.744876,99,0.744876
1489,0.743764,99.2,0.743764
1492,0.745231,99.4,0.745231
1495,0.745727,99.6,0.745727
1498,0.750584,99.8,0.750584
1501,0.753831,100,0.753831
1504,0.749453,100.2,0.749453
1507,0.748801,100.4,0.748801
1510,0.748735,100.6,0.748735
1513,0.746839,100.8,0.746839
1516,0.745719,101,0.745719
1519,0.748235,101.2,0.748235
1522,0.749574,101.4,0.749574
1525,0.751731,101.6,0.751731
1528,0.755403,101.8,0.755403
1531,0.757467,102,0.757467
1534,0.760565,102.2,0.760565
1537,0.763714,102.4,0.763714
1540,0.76897,102.6,0.76897
1543,0.769957,102.8,0.769957
1546,0.776625,103,0.776625
1549,0.779021,103.2,0.779021
1552,0.773691,103.4,0.773691
1555,0.772263,103.6,0.772263
1558,0.776633,103.8,0.776633
1561,0.77444,104,0.77444
1564,0.769828,104.2,0.769828
1567,0.765852,104.4,0.765852
1570,0.768388,104.6,0.768388
1573,0.769855,104.8,0.769855
1576,0.770952,105,0.770952
1579,0.7692,105.2,0.7692
1582,0.769134,105.4,0.769134
1585,0.773234,105.6,0.773234
1588,0.781627,105.8,0.781627
1591,0.790059,106,0.790059
1594,0.783387,106.2,0.783387
1597,0.774776,106.4,0.774776
1600,0.76259,106.6,0.76259
1603,0.754229,106.8,0.754229
1606,0.75188,107,0.75188
1609,0.746304,107.2,0.746304
1612,0.749788,107.4,0.749788
1615,0.746265,107.6,0.746265
1618,0.743873,107.8,0.743873
1621,0.744966,108,0.744966
1624,0.748587,108.2,0.748587
1627,0.749117,108.4,0.749117
1630,0.746136,108.6,0.746136
1633,0.74353,108.8,0.74353
1636,0.735652,109,0.735652
1639,0.745734,109.2,0.745734
1642,0.740978,109.4,0.740978
1645,0.734232,109.6,0.734232
1648,0.729815,109.8,0.729815
