density,time
0.714918,62.042
0.715043,62.109
0.715121,62.176
0.715253,62.243
0.715273,62.31
0.714122,62.377
0.713634,62.444
0.713841,62.511
0.713728,62.578
0.713369,62.645
0.713103,62.712
0.713119,62.779
0.71292,62.846
0.713291,62.913
0.71292,62.98
0.713244,63.047
0.712741,63.114
0.712799,63.181
0.712819,63.248
0.712819,63.315
0.713326,63.382
0.713174,63.449
0.712963,63.516
0.71276,63.583
0.71269,63.65
0.712721,63.717
0.712561,63.784
0.71251,63.851
0.713498,63.918
0.713572,63.985
0.713654,64.052
0.713755,64.119
0.713755,64.186
0.713509,64.253
0.713677,64.32
0.713724,64.387
0.713857,64.454
0.713919,64.521
0.713825,64.588
0.714044,64.655
0.71418,64.722
0.714524,64.789
0.714543,64.856
0.71459,64.923
0.714652,64.99
0.714746,65.057
0.714957,65.124
0.714855,65.191
0.715093,65.258
0.715288,65.325
0.715495,65.392
0.714844,65.459
0.714695,65.526
0.714649,65.593
0.714574,65.66
0.714574,65.727
0.714336,65.794
0.714559,65.861
0.714262,65.928
0.714247,65.995
0.71411,66.062
0.71427,66.129
0.71418,66.196
0.714254,66.263
0.714188,66.33
0.714403,66.397
0.714422,66.464
0.714582,66.531
0.714465,66.598
0.714145,66.665
0.714493,66.732
0.714832,66.799
0.714836,66.866
0.714879,66.933
0.712791,67
0.712077,67.067
0.711937,67.134
0.711917,67.201
0.711984,67.268
0.712323,67.335
0.712237,67.402
0.712428,67.469
0.712425,67.536
0.712752,67.603
0.712791,67.67
0.713045,67.737
0.71347,67.804
0.71347,67.871
0.713302,67.938
0.713201,68.005
0.712983,68.072
0.713041,68.139
0.713018,68.206
0.712975,68.273
0.712616,68.34
0.712565,68.407
0.712647,68.474
0.714485,68.541
0.714169,68.608
0.714407,68.675
0.715019,68.742
0.715347,68.809
0.714309,68.876
0.714219,68.943
0.714208,69.01
0.714649,69.077
0.714816,69.144
0.714785,69.211
0.714965,69.278
0.71461,69.345
0.713521,69.412
0.713267,69.479
0.713423,69.546
0.711839,69.613
0.711059,69.68
0.710883,69.747
0.710357,69.814
0.710345,69.881
0.70976,69.948
0.70983,70.015
0.709022,70.082
0.708866,70.149
0.708398,70.216
0.707672,70.283
0.707645,70.35
0.707442,70.417
0.708265,70.484
0.707071,70.551
0.706662,70.618
0.706837,70.685
0.706392,70.752
0.706584,70.819
0.707239,70.886
0.70768,70.953
0.708055,71.02
0.708589,71.087
0.709287,71.154
0.70949,71.221
0.709713,71.288
0.70917,71.355
0.709373,71.422
0.706708,71.489
0.70512,71.556
0.695822,71.623
0.696451,71.69
0.695748,71.757
0.695939,71.824
0.699611,71.891
0.70052,71.958
0.701983,72.025
0.702171,72.092
0.703415,72.159
